,Close Price,Date
311,27.940001000000002,7-8-2001
312,27.540001,8-8-2001
313,27.639999,9-8-2001
314,28.049999,10-8-2001
315,27.82,13-8-2001
316,28.01,14-8-2001
317,27.559998999999998,15-8-2001
318,27.450001,16-8-2001
319,26.629998999999998,17-8-2001
320,27.18,20-8-2001
321,27.85,21-8-2001
322,26.370001000000002,22-8-2001
323,26.629998999999998,23-8-2001
324,26.9,24-8-2001
325,26.67,27-8-2001
326,27.17,28-8-2001
327,27.049999,29-8-2001
328,27.200001,31-8-2001
329,26.93,4-9-2001
330,26.950001,5-9-2001
331,27.58,6-9-2001
332,28.030001000000002,7-9-2001
333,27.629998999999998,10-9-2001
334,29.530001000000002,14-9-2001
335,28.809998999999998,17-9-2001
336,27.700001,18-9-2001
337,26.719998999999998,19-9-2001
338,26.59,20-9-2001
339,25.969998999999998,21-9-2001
340,22.01,24-9-2001
341,22.379998999999998,26-9-2001
342,23.280001000000002,1-10-2001
343,22.790001,2-10-2001
344,22.08,3-10-2001
345,22.629998999999998,4-10-2001
346,22.389999,5-10-2001
347,22.450001,8-10-2001
348,22.48,9-10-2001
349,22.530001000000002,10-10-2001
350,23.34,11-10-2001
351,22.5,12-10-2001
352,22.290001,15-10-2001
353,21.809998999999998,17-10-2001
354,21.309998999999998,18-10-2001
355,21.83,19-10-2001
356,21.76,22-10-2001
357,21.85,23-10-2001
358,22.33,24-10-2001
359,22.01,25-10-2001
360,22.049999,26-10-2001
361,22.15,29-10-2001
362,21.870001000000002,30-10-2001
363,21.18,31-10-2001
364,20.389999,1-11-2001
365,20.18,2-11-2001
366,20.02,5-11-2001
367,19.92,6-11-2001
368,20.09,7-11-2001
369,21.17,8-11-2001
370,22.219998999999998,9-11-2001
371,21.23,12-11-2001
372,21.67,13-11-2001
373,19.74,14-11-2001
374,17.450001,15-11-2001
375,18.030001000000002,16-11-2001
376,17.719998999999998,19-11-2001
377,19.15,20-11-2001
378,18.959999,21-11-2001
379,18.690001000000002,26-11-2001
380,19.48,27-11-2001
381,18.620001000000002,29-11-2001
382,19.440001000000002,30-11-2001
383,20.09,3-12-2001
384,19.65,4-12-2001
385,19.49,5-12-2001
386,18.540001,6-12-2001
387,19.040001,7-12-2001
388,18.370001000000002,10-12-2001
389,18.360001,12-12-2001
390,18.120001000000002,13-12-2001
391,19.219998999999998,17-12-2001
392,19.360001,18-12-2001
393,19.799999,19-12-2001
394,19.280001000000002,20-12-2001
395,19.620001000000002,21-12-2001
396,21.27,26-12-2001
397,20.9,27-12-2001
398,20.41,28-12-2001
399,19.84,31-12-2001
400,21.01,2-1-2002
401,21.620001000000002,4-1-2002
402,21.48,7-1-2002
403,20.18,9-1-2002
404,20.379998999999998,10-1-2002
405,19.68,11-1-2002
406,18.889999,14-1-2002
407,18.9,15-1-2002
408,18.860001,16-1-2002
409,18.040001,17-1-2002
410,18.0,18-1-2002
411,18.6,22-1-2002
412,19.48,23-1-2002
413,19.719998999999998,24-1-2002
414,20.049999,28-1-2002
415,19.57,29-1-2002
416,19.15,30-1-2002
417,19.48,31-1-2002
418,20.4,1-2-2002
419,20.059998999999998,4-2-2002
420,20.049999,5-2-2002
421,19.75,6-2-2002
422,19.68,7-2-2002
423,20.25,8-2-2002
424,21.32,11-2-2002
425,20.75,12-2-2002
426,21.15,13-2-2002
427,21.219998999999998,14-2-2002
428,21.5,15-2-2002
429,20.870001000000002,19-2-2002
430,20.23,20-2-2002
431,21.049999,21-2-2002
432,21.08,22-2-2002
433,20.42,25-2-2002
434,21.360001,26-2-2002
435,21.290001,27-2-2002
436,21.85,28-2-2002
437,22.360001,1-3-2002
438,22.5,4-3-2002
439,23.17,5-3-2002
440,23.219998999999998,6-3-2002
441,23.780001000000002,7-3-2002
442,23.85,8-3-2002
443,24.299999,11-3-2002
444,24.15,12-3-2002
445,24.15,13-3-2002
446,24.549999,14-3-2002
447,24.48,15-3-2002
448,25.049999,18-3-2002
449,25.049999,19-3-2002
450,24.700001,20-3-2002
451,25.6,21-3-2002
452,25.26,22-3-2002
453,25.02,25-3-2002
454,25.43,26-3-2002
455,26.23,28-3-2002
456,26.860001,1-4-2002
457,27.700001,2-4-2002
458,27.559998999999998,3-4-2002
459,26.68,4-4-2002
460,26.219998999999998,5-4-2002
461,26.549999,8-4-2002
462,25.799999,9-4-2002
463,26.120001000000002,10-4-2002
464,25.02,11-4-2002
465,23.450001,12-4-2002
466,24.549999,15-4-2002
467,24.85,16-4-2002
468,25.92,17-4-2002
469,26.09,18-4-2002
470,26.4,19-4-2002
471,26.299999,22-4-2002
472,26.59,23-4-2002
473,26.43,24-4-2002
474,26.67,25-4-2002
475,27.15,26-4-2002
476,27.52,29-4-2002
477,27.290001,30-4-2002
478,26.74,1-5-2002
479,26.35,2-5-2002
480,26.719998999999998,3-5-2002
481,26.08,6-5-2002
482,26.620001000000002,7-5-2002
483,27.73,8-5-2002
484,27.700001,9-5-2002
485,27.879998999999998,10-5-2002
486,28.450001,13-5-2002
487,29.299999,14-5-2002
488,28.200001,15-5-2002
489,28.200001,17-5-2002
490,28.200001,20-5-2002
491,27.0,21-5-2002
492,26.450001,22-5-2002
493,26.15,23-5-2002
494,25.879998999999998,24-5-2002
495,25.18,28-5-2002
496,25.719998999999998,29-5-2002
497,24.700001,30-5-2002
498,25.35,31-5-2002
499,25.110001,3-6-2002
500,25.299999,4-6-2002
501,24.889999,5-6-2002
502,24.93,6-6-2002
503,24.73,7-6-2002
504,24.32,10-6-2002
505,24.18,11-6-2002
506,24.68,12-6-2002
507,25.639999,13-6-2002
508,25.870001000000002,14-6-2002
509,25.35,18-6-2002
510,25.299999,19-6-2002
511,25.6,20-6-2002
512,25.75,21-6-2002
513,26.32,25-6-2002
514,26.76,26-6-2002
515,26.860001,27-6-2002
516,26.860001,28-6-2002
517,26.809998999999998,1-7-2002
518,26.77,2-7-2002
519,26.799999,3-7-2002
520,26.09,9-7-2002
521,26.83,11-7-2002
522,27.469998999999998,12-7-2002
523,27.07,15-7-2002
524,27.75,16-7-2002
525,27.879998999999998,17-7-2002
526,27.57,18-7-2002
527,27.83,19-7-2002
528,26.6,22-7-2002
529,26.309998999999998,23-7-2002
530,26.870001000000002,24-7-2002
531,26.77,25-7-2002
532,26.540001,26-7-2002
533,26.549999,29-7-2002
534,27.360001,30-7-2002
535,27.02,31-7-2002
536,26.469998999999998,1-8-2002
537,26.84,2-8-2002
538,26.58,5-8-2002
539,27.17,6-8-2002
540,26.5,7-8-2002
541,26.67,8-8-2002
542,26.860001,9-8-2002
543,27.860001,12-8-2002
544,27.9,13-8-2002
545,28.15,14-8-2002
546,29.059998999999998,15-8-2002
547,29.33,16-8-2002
548,29.84,19-8-2002
549,30.110001,20-8-2002
550,29.24,21-8-2002
551,28.73,23-8-2002
552,29.280001000000002,26-8-2002
553,28.34,28-8-2002
554,28.92,29-8-2002
555,28.98,30-8-2002
556,27.790001,3-9-2002
557,28.27,4-9-2002
